[레인보우로보틱스] 기준대금: 200.0억 | 진짜주도주비율: 100.0% | 당일평균고가: +14.0% | 눌림후평균상승: +3.4% (최고기록 +19.5%) | 눌림+3%익절승률: 23.1% | 오버나잇익일+3%확률: 53.8% | 클로드필터오버나잇: 42.9%
[클로봇] 기준대금: 200.0억 | 진짜주도주비율: 84.6% | 당일평균고가: +14.9% | 눌림후평균상승: +5.7% (최고기록 +24.9%) | 눌림+3%익절승률: 46.2% | 오버나잇익일+3%확률: 76.9% | 클로드필터오버나잇: 60.0%
[한화오션] 기준대금: 150.0억 | 진짜주도주비율: 20.0% | 당일평균고가: +5.9% | 눌림후평균상승: +1.3% (최고기록 +6.2%) | 눌림+3%익절승률: 35.0% | 오버나잇익일+3%확률: 40.0% | 클로드필터오버나잇: 55.6%
[리가켐바이오] 기준대금: 70.0억 | 진짜주도주비율: 63.6% | 당일평균고가: +11.2% | 눌림후평균상승: +2.3% (최고기록 +6.4%) | 눌림+3%익절승률: 45.5% | 오버나잇익일+3%확률: 36.4% | 클로드필터오버나잇: 33.3%
[원익IPS] 기준대금: 100.0억 | 진짜주도주비율: 92.3% | 당일평균고가: +12.8% | 눌림후평균상승: +2.8% (최고기록 +6.5%) | 눌림+3%익절승률: 46.2% | 오버나잇익일+3%확률: 69.2% | 클로드필터오버나잇: 40.0%
[두산테스나] 기준대금: 30.0억 | 진짜주도주비율: 76.9% | 당일평균고가: +11.4% | 눌림후평균상승: +3.0% (최고기록 +7.6%) | 눌림+3%익절승률: 69.2% | 오버나잇익일+3%확률: 53.8% | 클로드필터오버나잇: 40.0%
[동진쎄미켐] 기준대금: 30.0억 | 진짜주도주비율: 61.9% | 당일평균고가: +8.8% | 눌림후평균상승: +2.0% (최고기록 +7.0%) | 눌림+3%익절승률: 47.6% | 오버나잇익일+3%확률: 38.1% | 클로드필터오버나잇: 36.4%
[대우건설] 기준대금: 500.0억 | 진짜주도주비율: 75.0% | 당일평균고가: +15.1% | 눌림후평균상승: +4.0% (최고기록 +9.4%) | 눌림+3%익절승률: 62.5% | 오버나잇익일+3%확률: 75.0% | 클로드필터오버나잇: 60.0%
[올릭스] 기준대금: 100.0억 | 진짜주도주비율: 57.1% | 당일평균고가: +11.3% | 눌림후평균상승: +4.7% (최고기록 +19.0%) | 눌림+3%익절승률: 57.1% | 오버나잇익일+3%확률: 35.7% | 클로드필터오버나잇: 12.5%
[한미반도체] 기준대금: 200.0억 | 진짜주도주비율: 44.0% | 당일평균고가: +9.2% | 눌림후평균상승: +4.2% (최고기록 +14.8%) | 눌림+3%익절승률: 44.0% | 오버나잇익일+3%확률: 44.0% | 클로드필터오버나잇: 18.2%
[기아] 기준대금: 150.0억 | 진짜주도주비율: 33.3% | 당일평균고가: +7.6% | 눌림후평균상승: +2.8% (최고기록 +5.6%) | 눌림+3%익절승률: 77.8% | 오버나잇익일+3%확률: 55.6% | 클로드필터오버나잇: 60.0%
[고려아연] 기준대금: 20.0억 | 진짜주도주비율: 50.0% | 당일평균고가: +8.3% | 눌림후평균상승: +4.2% (최고기록 +12.3%) | 눌림+3%익절승률: 83.3% | 오버나잇익일+3%확률: 56.7% | 클로드필터오버나잇: 47.4%
